account_id,region,instance_id,timestamp,cpu_avg,cpu_max,network_in_avg,network_out_avg,disk_read_ops_avg,disk_write_ops_avg,disk_read_bytes_avg,disk_write_bytes_avg,status_check_failed_max,memory_used_percent_avg,period_seconds
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T00:00:00+00:00,9.07,17.27,2262117.86,4299796.1,0.0,0.0,163950.71,65400.59,0,44.87,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T01:00:00+00:00,4.01,11.41,1446125.27,1201394.73,17.96,7.75,0.0,69600.06,0,37.33,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T02:00:00+00:00,9.07,12.32,1326804.3,1056807.58,27.34,7.83,108333.88,62529.32,0,49.26,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T03:00:00+00:00,7.28,12.34,1644154.34,6224628.54,8.07,3.18,39956.06,122078.35,0,54.03,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T04:00:00+00:00,6.6,13.8,275518.78,3061185.58,18.43,10.95,43449.03,84572.91,0,45.93,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T05:00:00+00:00,8.77,16.12,1685262.22,3696493.79,15.29,11.08,209295.49,0.0,0,42.44,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T06:00:00+00:00,8.35,14.55,1116524.42,5216549.29,5.26,16.1,0.0,56709.2,0,46.3,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T07:00:00+00:00,17.05,23.61,3635013.9,3849216.52,23.79,23.91,265036.23,68445.09,0,35.93,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T08:00:00+00:00,16.78,22.27,2939092.4,5855637.37,23.69,18.05,342225.71,143052.28,0,48.65,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T09:00:00+00:00,19.68,24.5,2898262.11,2856320.71,37.67,15.92,329249.41,235259.73,0,48.57,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T10:00:00+00:00,30.33,33.82,4631701.69,7928563.58,33.68,18.75,373230.04,223520.25,0,48.2,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T11:00:00+00:00,26.83,31.72,5770894.96,6442138.72,52.09,19.36,426622.91,192298.24,0,42.29,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T12:00:00+00:00,34.94,46.58,6257756.98,9792804.54,52.29,23.37,589546.28,307040.58,0,46.86,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T13:00:00+00:00,34.08,45.09,5440644.37,7041005.01,58.59,35.84,703918.76,407608.9,0,47.85,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T14:00:00+00:00,40.12,49.07,6046915.13,8845514.78,62.97,29.11,732181.76,383422.18,0,33.23,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T15:00:00+00:00,29.45,34.01,5746459.9,11846795.12,78.22,32.77,391879.52,123936.3,0,47.14,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T16:00:00+00:00,27.15,32.23,3912903.2,6958418.23,55.91,28.41,436636.52,188647.7,0,31.6,3600
SYNTHETIC-001,us-east-1,i-fe01442ffcbdd8b17,2025-04-02T17:00:00+00:00,23.3,26.57,5651263.25,6473882.38,48.66,19.31,269838.96,155790.66,0,39.2,3600
